ID,Name,Abstract
468,"Online Shoppers Purchasing Intention Dataset","Of the 12,330 sessions in the dataset, 84.5% (10,422) were negative class samples that did not end with shopping, and the rest (1908) were positive class samples ending with shopping."
469,PMU-UD,"The handwritten dataset was collected from 170 participants with a total of 5,180 numeral patterns. The dataset is named Prince Mohammad Bin Fahd University - Urdu/Arabic Database (PMU-UD). "
470,"Parkinson's Disease Classification","The data used in this study were gathered from 188 patients with PD (107 men and 81 women) with ages ranging from 33 to 87 (65.1Â±10.9)."
471,"Electrical Grid Stability Simulated Data ","The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept. "
472,"Caesarian Section Classification Dataset","This dataset contains information about caesarian section results of  80 pregnant women with the most important characteristics of delivery problems in the medical field."
473,BAUM-1,"BAUM-1 dataset contains 1184 multimodal facial video clips collected from 31 subjects. The 1184 video clips contain spontaneous facial expressions and speech of 13 emotional and mental states."
474,BAUM-2,"A multilingual audio-visual affective face database consisting of 1047 video clips of 286 subjects. "
475,"Audit Data","Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms."
476,"BuddyMove Data Set","User interest information extracted from user reviews published in holidayiq.com about various types of point of interests in South India"
477,"Real estate valuation data set","The â€œreal estate valuationâ€ is a regression problem. The market historical data set of real estate valuation are collected from Sindian Dist., New Taipei City, Taiwan. "
478,"Early biomarkers of Parkinsonâ€™s disease based on natural connected speech Data Set ",.
479,"Somerville Happiness Survey","A data extract of a non-federal dataset posted here https://catalog.data.gov/dataset/somerville-happiness-survey-responses-2011-2013-2015"
480,"2.4 GHZ Indoor Channel Measurements","Measurement of the S21,consists of 10 sweeps, each sweep contains 601 frequency points with spacing of 0.167MHz to cover a 100MHz band centered at 2.4GHz."
481,"EMG data for gestures","These are files of raw EMG data recorded by MYO Thalmic bracelet"
482,"Parking Birmingham","Data collected from car parks in Birmingham that are operated by NCP from  Birmingham City Council. UK Open Government Licence (OGL). https://data.birmingham.gov.uk/dataset/birmingham-parking"
483,"Behavior of the urban traffic of the city of Sao Paulo in Brazil","The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil."
484,"Travel Reviews","Reviews on destinations in 10 categories mentioned across East Asia. Each traveler rating is mapped as Excellent(4), Very Good(3), Average(2), Poor(1), and Terrible(0) and average rating is used."
485,"Tarvel Review Ratings","Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated."
486,"Rice Leaf Diseases","There are three classes/diseases: Bacterial leaf blight, Brown spot, and Leaf smut, each having 40 images. The format of all images is jpg.  "
487,"Gas sensor array temperature modulation","A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber. "
488,"Facebook Live Sellers in Thailand","Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions."
489,"Parkinson Dataset with replicated acoustic features ","Contains acoustic features extracted from 3 voice recording  replications of the sustained /a/ phonation for each one of the 80 subjects (40 of them with Parkinson's Disease)."
492,"Metro Interstate Traffic Volume","Hourly Minneapolis-St Paul, MN traffic volume for westbound I-94. Includes weather and holiday features from 2012-2018."
